2025-02-15 16:52:02 install libfile-fcntllock-perl:i386 <none> 0.22-3+b5
2025-02-15 16:52:02 status half-installed libfile-fcntllock-perl:i386 0.22-3+b5
2025-02-15 16:52:02 status unpacked libfile-fcntllock-perl:i386 0.22-3+b5
2025-02-15 16:52:02 install libglib2.0-data:all <none> 2.58.3-2+deb10u6
2025-02-15 16:52:02 status half-installed libglib2.0-data:all 2.58.3-2+deb10u6
2025-02-15 16:52:02 status unpacked libglib2.0-data:all 2.58.3-2+deb10u6
2025-02-15 16:52:02 install libpython3.7:i386 <none> 3.7.3-2+deb10u7
2025-02-15 16:52:02 status half-installed libpython3.7:i386 3.7.3-2+deb10u7
2025-02-15 16:52:02 status unpacked libpython3.7:i386 3.7.3-2+deb10u7
2025-02-15 16:52:02 install libpython3.7-dev:i386 <none> 3.7.3-2+deb10u7
2025-02-15 16:52:02 status half-installed libpython3.7-dev:i386 3.7.3-2+deb10u7
2025-02-15 16:52:05 status unpacked libpython3.7-dev:i386 3.7.3-2+deb10u7
2025-02-15 16:52:05 install libpython3-dev:i386 <none> 3.7.3-1
2025-02-15 16:52:05 status half-installed libpython3-dev:i386 3.7.3-1
2025-02-15 16:52:05 status unpacked libpython3-dev:i386 3.7.3-1
2025-02-15 16:52:05 install libsasl2-modules:i386 <none> 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:05 status half-installed libsasl2-modules:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:05 status unpacked libsasl2-modules:i386 2.1.27+dfsg-1+deb10u2
2025-02-15 16:52:05 install manpages-dev:all <none> 4.16-2
2025-02-15 16:52:05 status half-installed manpages-dev:all 4.16-2
2025-02-15 16:52:05 status unpacked manpages-dev:all 4.16-2
2025-02-15 16:52:05 install python-pip-whl:all <none> 18.1-5
2025-02-15 16:52:05 status half-installed python-pip-whl:all 18.1-5
2025-02-15 16:52:05 status unpacked python-pip-whl:all 18.1-5
2025-02-15 16:52:05 install python3-asn1crypto:all <none> 0.24.0-1
2025-02-15 16:52:05 status half-installed python3-asn1crypto:all 0.24.0-1
2025-02-15 16:52:05 status unpacked python3-asn1crypto:all 0.24.0-1
2025-02-15 16:52:05 install python3-cffi-backend:i386 <none> 1.12.2-1
2025-02-15 16:52:05 status half-installed python3-cffi-backend:i386 1.12.2-1
2025-02-15 16:52:05 status unpacked python3-cffi-backend:i386 1.12.2-1
2025-02-15 16:52:05 install python3-crypto:i386 <none> 2.6.1-9+b1
2025-02-15 16:52:05 status half-installed python3-crypto:i386 2.6.1-9+b1
2025-02-15 16:52:05 status unpacked python3-crypto:i386 2.6.1-9+b1
2025-02-15 16:52:05 install python3-six:all <none> 1.12.0-1
2025-02-15 16:52:05 status half-installed python3-six:all 1.12.0-1
2025-02-15 16:52:05 status unpacked python3-six:all 1.12.0-1
2025-02-15 16:52:05 install python3-cryptography:i386 <none> 2.6.1-3+deb10u4
2025-02-15 16:52:05 status half-installed python3-cryptography:i386 2.6.1-3+deb10u4
2025-02-15 16:52:05 status unpacked python3-cryptography:i386 2.6.1-3+deb10u4
2025-02-15 16:52:05 install python3-dbus:i386 <none> 1.2.8-3
